date,spx,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1994-02-15,0.4858090700230022,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.9685,1994-02-14,0.40866854568400457,0.8441206563872741,0.4354521107032695
1994-02-16,0.057128351104918096,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.9685,1994-02-14,0.40357498438025396,0.8271122551018589,0.42353727072160496
1994-02-17,-0.51955053877303925,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.9685,1994-02-14,0.41401701174169764,0.8686883471328738,0.45467133539117616
1994-02-18,-0.5650141371886797,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.9685,1994-02-14,0.4285229156607965,0.9260129588726066,0.4974900432118101
1994-02-22,0.8028556201852055,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.93412,1994-02-21,0.45688884603603114,0.8516799458474587,0.3947910998114275
1994-02-23,-0.1634536277987486,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.93412,1994-02-21,0.4579669752486519,0.8762476365930584,0.4182806613444065
1994-02-24,-1.3754945817222364,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.93412,1994-02-21,0.5286240412448571,1.0053854982045445,0.4767614569596874
1994-02-25,0.3891090797086605,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.93412,1994-02-21,0.5332514498569902,0.9323123667560939,0.3990609168991036
1994-02-28,0.22931782635762232,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.89628,1994-02-28,0.525038139229547,0.9367219522745347,0.4116838130449877
1994-03-01,-0.5796647654551457,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.89628,1994-02-28,0.5104656374457893,0.9971962679560111,0.4867306305102218
1994-03-02,0.07963325683135736,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.89628,1994-02-28,0.505334749026547,1.0129447876647288,0.5076100386381819
1994-03-03,-0.38800419104418893,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.89628,1994-02-28,0.4954824767065602,1.0305831927325717,0.5351007160260115
1994-03-04,0.37294141851207385,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.89628,1994-02-28,0.4940118759414495,1.0079052613579391,0.5138933854164895
1994-03-07,0.46584402689324733,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.85844,1994-03-07,0.49273849324993324,0.8982955641852634,0.4055570709353301
1994-03-08,-0.2208427210162789,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.85844,1994-03-07,0.49169076208544493,1.0223938994899597,0.5307031374045148
1994-03-09,0.25296238245466895,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.85844,1994-03-07,0.2554852256803213,0.907744676010494,0.6522594503301727
1994-03-10,-0.6788725967499687,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.85844,1994-03-07,0.26863532851884264,1.0425519417230396,0.7739166132041969
1994-03-11,0.5460400116053421,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.85844,1994-03-07,0.2811568660598145,0.9367219522745347,0.6555650862147202
1994-03-14,0.20346600782739088,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.82296,1994-03-14,0.27700027535950644,1.0463317124412894,0.769331437081783
1994-03-15,-0.08133668895178303,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.82296,1994-03-14,0.24706817496560118,0.9310524851793963,0.6839843102137951
1994-03-16,0.5147225658459931,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.82296,1994-03-14,0.2558896176062472,0.9140440838939812,0.658154466287734
1994-03-17,0.3147826720804936,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.82296,1994-03-14,0.26038848008324583,0.8038044459329565,0.5434159658497106
1994-03-18,0.03397256845252272,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.82296,1994-03-14,0.24971319294191163,0.8390811300804845,0.5893679371385728
1994-03-21,-0.5363974081230793,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.79165,1994-03-21,0.2626431261665112,0.9033350904920531,0.6406919643255419
1994-03-22,0.05547165542889587,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.79165,1994-03-21,0.25051332353999606,0.8434907155989254,0.5929773920589294
1994-03-23,-0.05547165542889587,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.79165,1994-03-21,0.2361422385096758,0.7754571104572645,0.5393148719475886
1994-03-24,-0.8982904967939298,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.79165,1994-03-21,0.24352172349909917,0.8460104787523203,0.6024887552532211
1994-03-25,-0.8152054548716592,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.79165,1994-03-21,0.27251458009964175,0.8611290576726893,0.5886144775730475
1994-03-28,-0.12600471114474487,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.76612,1994-03-28,0.18723693659434357,0.9386117746395809,0.7513748380452373
1994-03-29,-1.6482901904521619,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.76612,1994-03-28,0.30384851277748465,1.038772359987026,0.7349238472095414
1994-03-30,-1.5434140452895484,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.76612,1994-03-28,0.40973670594619666,1.1710599255402556,0.7613232195940589
1994-03-31,0.04936521342386868,15.68183440033133,1994-03-01,1.0073806242732353,1994-03-01,1.0073806242732353,1994-03-01,-0.76612,1994-03-28,0.3945742370364791,1.288228975167195,0.8936547381307158
1994-04-04,-1.5485905519210696,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.74808,1994-04-04,0.5032920207594626,1.5036687247824543,1.0003767040229916
1994-04-05,2.112317075694925,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.74808,1994-04-04,0.6992618469414854,1.1420825862821362,0.4428207393406508
