date,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1999-08-12,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.16937,1999-08-09,0.9961944841363579,1.5767418364914274,0.5805473523550695
1999-08-13,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.16937,1999-08-09,1.22104757620676,1.4053978651635088,0.18435028895674876
1999-08-16,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.1591,1999-08-16,1.1932682061060793,1.4532733794962114,0.26000517339013207
1999-08-17,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.1591,1999-08-16,1.2197579105086744,1.3650816931577257,0.14532378264905121
1999-08-18,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.1591,1999-08-16,1.2240759658509437,1.467761988791831,0.24368602294088726
1999-08-19,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.1591,1999-08-16,1.0272834422415127,1.5364255443339743,0.5091421020924616
1999-08-20,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.1591,1999-08-16,1.0696907274084368,1.4457141573209622,0.37602342991252535
1999-08-23,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.15151,1999-08-23,1.1277843018543117,1.4205164296656776,0.2927321278113659
1999-08-24,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.15151,1999-08-23,1.1264235866407633,1.4110673418707809,0.2846437552300176
1999-08-25,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.15151,1999-08-23,1.1861840067862275,1.3203558347060986,0.13417182791987114
1999-08-26,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.15151,1999-08-23,1.2244023607090957,1.3361043544148166,0.11170199370572087
1999-08-27,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.15151,1999-08-23,1.269530730503456,1.3751607361591716,0.10563000565571556
1999-08-30,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.14292,1999-08-30,1.2718363567045001,1.5515441088361428,0.2797077521316427
1999-08-31,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.14292,1999-08-30,1.2365681790528473,1.540205275573269,0.3036370965204216
1999-09-01,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.14292,1999-08-30,1.2658407430818033,1.4444542469078638,0.17861350382606056
1999-09-02,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.14292,1999-08-30,1.2939509635193813,1.5452447970739918,0.25129383355461044
1999-09-03,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.14292,1999-08-30,1.5882743940321407,1.321615745119197,-0.26665864891294366
1999-09-07,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.13125,1999-09-06,1.5810938593750672,1.4765812415318487,-0.10451261784321852
