Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
12/01/1972,-0.300091389876948,-0.445757664978268,-0.13053694895184,-2.74998316347114,0.810529569248434,-0.184918324002873
12/08/1972,-0.324478784392259,-0.523621391583271,-0.154978674743371,-2.7601490549878,0.889440494574012,-0.174407627955706
12/15/1972,-0.338404042222238,-0.59719747432899,-0.167530117481074,-2.77117517337203,0.970781334724335,-0.16462998881514
12/22/1972,-0.334306958912411,-0.649458841317773,-0.16089183595775,-2.78300774808517,1.05428711961851,-0.155500530743779
12/29/1972,-0.305598084423112,-0.6644291316758,-0.128785380112316,-2.79554491667863,1.13955204244575,-0.146909920317798
01/05/1973,-0.247790920614841,-0.629197756773656,-0.0669983043129146,-2.80871179022182,1.22604943278085,-0.138736107317497
01/12/1973,-0.158050101194772,-0.53439374500198,0.0270022974828102,-2.82245078052125,1.31314158835651,-0.13082922752191
01/19/1973,-0.0370571321076714,-0.376924196487136,0.152241546841143,-2.83669060586467,1.40011953910885,-0.12305549716061
01/26/1973,0.111489505402525,-0.160041079462168,0.304764175749354,-2.85138297151265,1.48616136169075,-0.115289181259274
02/02/1973,0.280587353530338,0.104180613339438,0.477421049055626,-2.86607775673883,1.57040053473978,-0.107413614424669
02/09/1973,0.459476457709118,0.394235768379928,0.659312820846655,-2.88068636776118,1.6520104592369,-0.0993220464337188
02/16/1973,0.635339656935653,0.680033594314374,0.837889750728119,-2.89428215378287,1.73013517307701,-0.0909146393295834
02/23/1973,0.796414968066699,0.932602766587252,1.00146558866513,-2.90633276983223,1.80420988736172,-0.0820940141646451
03/02/1973,0.931869120223489,1.12530462260692,1.1393612054261,-2.91612959738395,1.87386759551057,-0.0727653853482556
03/09/1973,1.03540872887121,1.24386415340743,1.24531925984733,-2.92311393382648,1.93891451041346,-0.062837344257858
03/16/1973,1.10462466837109,1.28660711152244,1.31680215316737,-2.92686299253583,1.99941527644294,-0.0522214365133796
03/23/1973,1.14316863952175,1.26892927267798,1.35727009016749,-2.92709141830298,2.05549845451785,-0.0408316554264225
03/30/1973,1.15628676632572,1.21182850423049,1.37182455805488,-2.92366389448583,2.10735432080051,-0.0285842471767077
04/06/1973,1.14964356327564,1.135191990904,1.36617326933038,-2.9166058140669,2.15514978033535,-0.0153845539173436
04/13/1973,1.13071133892331,1.05899006987288,1.34780841889851,-2.90600583712867,2.19906094425378,-0.00113182294469682
04/20/1973,1.10438154220983,0.991347089975742,1.32181374510638,-2.89200268272088,2.23916090558421,0.0142591979714902
04/27/1973,1.07490877063596,0.932919473831262,1.29259597074765,-2.8747110403983,2.27547510960572,0.0308689981579299
05/04/1973,1.04438587341528,0.87658730994571,1.26231231976481,-2.85364410284948,2.30797862594904,0.048753583103748
05/11/1973,1.01535209338652,0.816976653098408,1.23357158200479,-2.82871018895846,2.33655168683312,0.0679342703942519
05/18/1973,0.989014332680854,0.747759921388411,1.20767292960133,-2.79861078713744,2.36114995816578,0.0883984414355716
05/25/1973,0.967689445711695,0.671260542188993,1.18689617487156,-2.76246897206773,2.38180798730589,0.110100751568343
06/01/1973,0.954636558491119,0.596617797438396,1.17447514282571,-2.71914697886663,2.39867120055466,0.132960946617495
06/08/1973,0.953962602291878,0.537180075432707,1.17438838963099,-2.66770951389212,2.41200256230802,0.156861240158458
06/15/1973,0.969666835707245,0.506930032581256,1.19038136254738,-2.60745471593067,2.42222418528166,0.181637026222987
06/22/1973,1.00552188874426,0.517064138910969,1.22591342092907,-2.53793867683358,2.42975790482073,0.20707140834842
06/29/1973,1.06402479447496,0.573771062427665,1.28307294895273,-2.45898561566506,2.43507212430603,0.232901971886056
07/06/1973,1.14448740151452,0.674609910512063,1.36086230245731,-2.370633048641,2.43858711166458,0.258846979899288
07/13/1973,1.24533060640614,0.815334826869005,1.45738105856132,-2.27320916274329,2.44072083913794,0.284579034015674
07/20/1973,1.36125240057532,0.983988349564268,1.56722366180928,-2.16731306789264,2.44179182900753,0.309823766171979
07/27/1973,1.48750065803579,1.17063942945124,1.68551677945053,-2.05375641721573,2.44206834000552,0.334334338870005
08/03/1973,1.61711775501072,1.36168277567577,1.8053020192967,-1.93320919510594,2.44172428494536,0.35791047018085
08/10/1973,1.74425238488141,1.54544966771635,1.92108321281537,-1.80734617981043,2.44088534955393,0.380403857221333
08/17/1973,1.86288059876832,1.71168783861811,2.02686838345595,-1.67669602462889,2.43967065001141,0.401711319090933
08/24/1973,1.96865803550235,1.85512062436762,2.11887186379787,-1.54297335092766,2.43823455254581,0.421766155318552
08/31/1973,2.05634995122454,1.96952246795583,2.19237974415062,-1.40775896065514,2.43683438483224,0.440535147175017
09/07/1973,2.12170010353937,2.05080314630248,2.24368846834348,-1.27302163432311,2.43578788362756,0.458014777397674
09/14/1973,2.16235399671764,2.09723235503275,2.27099904076189,-1.14112174282413,2.43553372007579,0.474228851483846
09/21/1973,2.17766735392645,2.10428770469239,2.27405312969358,-1.01457235146984,2.43642717998641,0.489225100543312
09/28/1973,2.16822773754659,2.06333902363233,2.253761620281,-0.896056234341876,2.43876329745861,0.503063740247326
10/05/1973,2.13526069104589,1.96462616950685,2.21157731996366,-0.788029990082678,2.44270543175798,0.515810288594014
10/12/1973,2.08622453835081,1.81476492089127,2.15478380064784,-0.692738049127599,2.44828453252973,0.527535370601472
10/19/1973,2.02777607348254,1.62737770825187,2.08993032698412,-0.611643485860417,2.45536311598272,0.538317902273627
10/26/1973,1.97115135446555,1.43875526144523,2.02790110183271,-0.545497977146922,2.46368900715252,0.548234362909921
11/02/1973,1.92507157426036,1.28913852471732,1.9773266476234,-0.494191695022945,2.47286968844864,0.557371660576693
11/09/1973,1.89648865200812,1.21719041275935,1.94481191078487,-0.457135064737818,2.48250056084094,0.565821767996799
11/16/1973,1.88676930471549,1.24209921788002,1.93198486158019,-0.432650251847796,2.49209143617496,0.573677426674788
11/23/1973,1.88916342422627,1.34909458209191,1.93238340508507,-0.419409632239988,2.50124801656172,0.581028968356494
11/30/1973,1.89091817924653,1.49667460718305,1.93363336492456,-0.41571281616598,2.5096740489909,0.587960836189444
12/07/1973,1.87599223575407,1.6280976246729,1.92003568407681,-0.420083705648199,2.51726117861885,0.594549026737776
12/14/1973,1.83082148702267,1.69180249254089,1.87813614181788,-0.431230244832768,2.52408041080799,0.600859666357864
12/21/1973,1.7460380270715,1.65634348910891,1.79843212959143,-0.448110833366786,2.53041615317495,0.606944763239499
12/28/1973,1.6198402393333,1.5174074279174,1.67869708561746,-0.469940792863066,2.53673948100386,0.61284130801289
01/04/1974,1.4557259342396,1.29141738782135,1.52185521372836,-0.496006506785373,2.54364339767158,0.618573857398831
01/11/1974,1.26671803132278,1.01476419832075,1.34018492329704,-0.525848728964762,2.55184602912274,0.624147495247879
01/18/1974,1.06482065679938,0.717086525315876,1.14525188832125,-0.558755018643655,2.56193343539784,0.629554684975344
01/25/1974,0.863222986211009,0.421319004295941,0.950017128725264,-0.594016129966174,2.57440911102022,0.634775631592685
02/01/1974,0.67491322431249,0.144764108962796,0.767409055086117,-0.630333933292811,2.58959576968082,0.639780529407611
02/08/1974,0.511080065180222,-0.0997080045635598,0.6087244787677,-0.666385095325996,2.60760886921935,0.644526220208203
02/15/1974,0.381881304353544,-0.2989142279695,0.484652253682779,-0.700282750725342,2.62831198311088,0.648957669169404
02/22/1974,0.296276460974729,-0.437194060232204,0.40434647505168,-0.730367038897928,2.65148316270596,0.653006475556057
03/01/1974,0.26028907721395,-0.503615813478956,0.374014211755383,-0.754828613315255,2.67675677473922,0.656590470254554
03/08/1974,0.278221646430156,-0.493098367009119,0.397925417326273,-0.772195861797682,2.7036800922996,0.659614504509053
03/15/1974,0.350480187215608,-0.410221288805399,0.476175972505903,-0.781234825838487,2.73167099932355,0.661970073242901
03/22/1974,0.474219637405431,-0.268369654195194,0.605428385936773,-0.7810914633953,2.76005086941391,0.663536316732802
03/29/1974,0.644918809760443,-0.0815177060979814,0.780494829634351,-0.77134303132279,2.78804765917434,0.664184788270428
04/05/1974,0.857912647458951,0.141735702283749,0.996199242404626,-0.751974732642836,2.81487743875655,0.663772868974125
04/12/1974,1.10989943713039,0.401405548739016,1.24889234747799,-0.723564888414507,2.83967847805571,0.662144719333144
04/19/1974,1.39553259411009,0.69648806586452,1.53340098180597,-0.686969676463297,2.8617638272804,0.659156805215317
04/26/1974,1.71016638651565,1.02639035746251,1.84550191980752,-0.643279463598168,2.88058585984847,0.654669678277351
05/03/1974,2.04675621620278,1.38286930960688,2.17880889551369,-0.593160593605969,2.89571438963925,0.648563633746528
05/10/1974,2.39866557564055,1.75977593247382,2.52778455106321,-0.53789988538661,2.9067986631988,0.64075015054318
05/17/1974,2.75836215589255,2.14914404629533,2.88547277931726,-0.477673049655021,2.91356130859499,0.631174303135715
