Date;P_I;EU_H;C_H;SO_I;CFNAI;CFNAI_MA3;DIFFUSION
1999:11;0,18;0,06;0,09;0,01;0,35;0,30;0,32
1999:12;0,28;0,08;0,16;0,05;0,57;0,56;0,60
2000:01;-0,11;0,13;-0,03;0,19;0,18;0,37;0,46
2000:02;0,11;-0,02;0,13;-0,44;-0,22;0,18;0,31
2000:03;0,12;0,05;0,05;0,21;0,43;0,13;0,29
2000:04;0,19;0,10;-0,02;0,17;0,43;0,21;0,42
2000:05;-0,01;-0,23;0,04;-0,18;-0,37;0,16;0,33
2000:06;-0,04;-0,01;0,02;0,14;0,12;0,06;0,13
2000:07;-0,08;0,01;-0,01;-0,20;-0,28;-0,17;-0,21
2000:08;-0,23;-0,14;0,06;-0,07;-0,38;-0,18;-0,28
2000:09;0,09;0,01;0,09;0,16;0,34;-0,10;-0,16
2000:10;-0,24;-0,04;0,00;-0,24;-0,52;-0,18;-0,23
2000:11;-0,12;-0,07;0,00;-0,17;-0,36;-0,18;-0,18
2000:12;-0,27;-0,08;0,03;0,05;-0,26;-0,38;-0,41
2001:01;-0,27;-0,15;0,03;-0,29;-0,69;-0,44;-0,39
2001:02;-0,38;-0,20;0,03;0,01;-0,55;-0,50;-0,43
2001:03;-0,21;-0,18;-0,02;-0,26;-0,67;-0,63;-0,54
2001:04;-0,27;-0,34;0,05;-0,32;-0,88;-0,70;-0,57
2001:05;-0,32;-0,26;0,03;0,12;-0,43;-0,66;-0,57
2001:06;-0,30;-0,30;0,01;-0,31;-0,90;-0,74;-0,63
2001:07;-0,30;-0,21;0,04;-0,01;-0,49;-0,61;-0,59
2001:08;-0,19;-0,40;0,08;0,07;-0,43;-0,61;-0,52
2001:09;-0,26;-0,25;-0,14;-0,41;-1,07;-0,66;-0,49
2001:10;-0,26;-0,47;0,40;0,14;-0,19;-0,56;-0,44
2001:11;-0,29;-0,33;-0,07;-0,06;-0,75;-0,67;-0,55
2001:12;-0,08;-0,22;-0,04;0,02;-0,31;-0,42;-0,38
2002:01;0,15;-0,22;0,04;-0,04;-0,07;-0,38;-0,30
2002:02;-0,09;-0,14;0,08;0,05;-0,10;-0,16;-0,14
2002:03;0,19;-0,11;-0,01;-0,10;-0,02;-0,06;-0,12
2002:04;0,06;-0,15;0,07;0,18;0,17;0,02;-0,08
2002:05;0,12;-0,12;-0,04;0,08;0,04;0,06;0,00
2002:06;0,26;-0,03;0,08;-0,02;0,29;0,17;0,12
2002:07;-0,11;-0,17;0,10;-0,10;-0,28;0,02;-0,05
2002:08;-0,09;-0,13;0,05;0,11;-0,06;-0,02;-0,15
2002:09;-0,04;-0,08;-0,05;-0,16;-0,33;-0,22;-0,39
2002:10;-0,15;-0,14;0,05;-0,13;-0,37;-0,25;-0,40
2002:11;0,10;-0,15;0,07;0,11;0,14;-0,19;-0,29
2002:12;-0,29;-0,17;0,12;-0,25;-0,59;-0,27;-0,32
2003:01;0,22;0,00;0,03;0,12;0,36;-0,03;-0,04
2003:02;-0,07;-0,18;-0,07;-0,14;-0,45;-0,23;-0,29
2003:03;-0,11;-0,22;0,12;0,04;-0,18;-0,09;-0,18
2003:04;-0,34;-0,21;0,07;-0,17;-0,65;-0,43;-0,45
2003:05;-0,05;-0,11;0,08;0,09;0,01;-0,27;-0,32
2003:06;0,02;-0,11;0,11;0,11;0,12;-0,17;-0,21
2003:07;0,09;-0,17;0,09;0,09;0,10;0,08;0,04
2003:08;-0,14;-0,05;0,14;-0,08;-0,14;0,03;-0,06
2003:09;0,22;-0,02;-0,01;0,13;0,32;0,10;0,00
2003:10;-0,01;0,00;0,06;0,07;0,13;0,10;-0,04
2003:11;0,27;0,05;0,14;0,03;0,49;0,31;0,26
2003:12;0,01;0,01;0,05;-0,04;0,03;0,21;0,06
2004:01;0,03;0,02;0,06;-0,07;0,04;0,19;0,00
2004:02;0,22;0,01;0,06;0,14;0,44;0,17;-0,07
2004:03;-0,08;0,04;0,14;0,43;0,52;0,33;0,15
2004:04;0,15;0,07;0,01;-0,16;0,07;0,34;0,25
2004:05;0,25;0,15;0,13;0,02;0,55;0,38;0,34
2004:06;-0,25;-0,04;-0,06;0,06;-0,30;0,11;0,18
2004:07;0,29;0,04;0,16;-0,03;0,45;0,23;0,25
2004:08;0,08;-0,03;0,09;0,14;0,29;0,15;0,17
2004:09;-0,02;0,04;0,13;0,00;0,16;0,30;0,24
2004:10;0,28;0,06;0,07;0,03;0,45;0,30;0,29
2004:11;-0,02;-0,09;0,04;0,07;0,01;0,20;0,14
2004:12;0,33;0,09;0,14;0,24;0,81;0,42;0,30
2005:01;0,05;0,02;0,03;0,08;0,17;0,33;0,16
2005:02;0,21;0,06;0,13;-0,04;0,37;0,45;0,34
2005:03;-0,14;-0,02;0,05;-0,18;-0,29;0,08;0,05
2005:04;0,06;0,10;0,12;0,26;0,54;0,21;0,17
2005:05;0,02;-0,03;0,03;-0,03;-0,01;0,08;0,01
2005:06;0,06;0,06;0,21;0,06;0,38;0,30;0,23
2005:07;-0,16;0,09;0,13;-0,11;-0,06;0,11;0,09
2005:08;0,09;0,02;-0,03;0,14;0,22;0,18;0,28
2005:09;-0,51;-0,04;-0,01;-0,03;-0,60;-0,15;0,02
2005:10;0,43;0,08;0,09;0,01;0,61;0,08;0,09
2005:11;0,29;0,07;0,16;0,18;0,70;0,24;0,14
2005:12;0,09;0,03;0,09;0,09;0,30;0,54;0,38
2006:01;0,14;0,14;0,18;-0,01;0,45;0,48;0,47
2006:02;-0,08;0,06;0,06;0,07;0,10;0,28;0,31
2006:03;0,03;0,08;0,07;0,03;0,20;0,25;0,33
2006:04;0,06;0,01;0,05;-0,23;-0,11;0,06;0,14
2006:05;-0,10;-0,06;0,04;0,14;0,02;0,04;0,02
2006:06;0,06;-0,01;0,04;-0,08;0,01;-0,02;-0,06
2006:07;-0,14;-0,06;0,05;-0,14;-0,28;-0,08;-0,17
2006:08;0,15;-0,03;-0,02;0,09;0,18;-0,03;0,00
2006:09;-0,07;-0,03;0,07;0,01;-0,02;-0,04;-0,15
2006:10;-0,13;-0,08;0,04;-0,09;-0,26;-0,03;-0,17
2006:11;-0,05;-0,06;0,01;-0,02;-0,12;-0,13;-0,32
2006:12;0,37;0,05;0,07;0,27;0,74;0,12;0,00
2007:01;-0,25;-0,04;-0,01;-0,18;-0,48;0,05;0,00
2007:02;0,21;-0,08;-0,03;0,08;0,19;0,15;0,10
2007:03;0,09;0,12;0,00;0,03;0,23;-0,02;-0,01
2007:04;0,17;-0,23;-0,02;-0,02;-0,11;0,10;0,13
2007:05;-0,07;0,03;0,02;0,04;0,03;0,05;0,06
2007:06;0,01;0,00;-0,05;-0,01;-0,05;-0,04;-0,05
2007:07;-0,12;-0,15;-0,01;-0,13;-0,41;-0,14;-0,28
2007:08;-0,09;-0,18;0,00;0,18;-0,08;-0,18;-0,31
2007:09;0,08;-0,06;-0,05;-0,05;-0,08;-0,19;-0,34
2007:10;-0,19;-0,13;-0,03;0,08;-0,28;-0,15;-0,23
2007:11;0,09;-0,02;-0,05;-0,08;-0,07;-0,14;-0,21
2007:12;-0,04;-0,14;-0,14;-0,11;-0,43;-0,26;-0,38
2008:01;-0,13;-0,07;-0,09;0,04;-0,24;-0,25;-0,43
2008:02;-0,26;-0,16;-0,14;-0,21;-0,77;-0,48;-0,68
2008:03;-0,27;-0,16;-0,09;-0,27;-0,78;-0,60;-0,71
2008:04;-0,41;-0,24;-0,10;0,09;-0,66;-0,74;-0,74
2008:05;-0,28;-0,24;-0,08;-0,21;-0,81;-0,75;-0,71
2008:06;-0,29;-0,26;-0,13;-0,02;-0,70;-0,72;-0,72
2008:07;-0,36;-0,29;-0,20;-0,37;-1,22;-0,91;-0,82
2008:08;-0,58;-0,30;-0,13;-0,22;-1,23;-1,05;-0,84
2008:09;-1,32;-0,46;-0,25;-0,45;-2,48;-1,64;-0,90
2008:10;-0,13;-0,40;-0,27;-0,30;-1,10;-1,60;-0,81
2008:11;-0,77;-0,63;-0,25;-0,63;-2,28;-1,95;-0,82
2008:12;-1,28;-0,71;-0,25;-0,34;-2,59;-1,99;-0,78
2009:01;-1,22;-0,88;-0,19;-0,65;-2,94;-2,60;-0,84
2009:02;-0,30;-0,64;-0,30;0,05;-1,19;-2,24;-0,74
2009:03;-0,71;-0,78;-0,33;-0,44;-2,27;-2,13;-0,78
2009:04;-0,40;-0,66;-0,27;-0,23;-1,56;-1,67;-0,75
2009:05;-0,46;-0,40;-0,21;-0,05;-1,12;-1,65;-0,76
2009:06;-0,20;-0,38;-0,22;-0,06;-0,87;-1,18;-0,63
2009:07;0,39;-0,28;-0,17;0,23;0,16;-0,61;-0,36
2009:08;0,33;-0,22;-0,08;-0,01;0,02;-0,23;-0,14
2009:09;0,26;-0,18;-0,42;0,13;-0,21;-0,01;0,04
2009:10;0,04;-0,23;-0,21;0,09;-0,31;-0,17;0,01
2009:11;0,16;0,00;-0,22;0,11;0,04;-0,16;0,01
2009:12;-0,01;-0,16;-0,17;0,05;-0,30;-0,19;0,00
2010:01;0,31;0,03;-0,24;0,06;0,16;-0,03;0,02
2010:02;-0,05;-0,20;-0,18;0,07;-0,36;-0,17;-0,14
2010:03;0,31;0,06;-0,08;0,17;0,47;0,09;0,06
2010:04;0,18;0,22;-0,16;0,14;0,38;0,16;0,21
2010:05;0,47;0,08;-0,23;-0,01;0,31;0,39;0,43
2010:06;0,01;-0,08;-0,22;0,12;-0,16;0,17;0,26
2010:07;0,11;0,08;-0,22;0,16;0,14;0,09;0,18
2010:08;0,04;-0,01;-0,19;0,00;-0,16;-0,06;0,03
2010:09;0,00;-0,01;-0,20;0,00;-0,21;-0,08;-0,02
2010:10;-0,04;0,10;-0,19;0,01;-0,12;-0,16;-0,08
2010:11;-0,01;-0,02;-0,20;0,04;-0,19;-0,17;-0,09
2010:12;0,24;0,03;-0,23;0,03;0,07;-0,08;0,00
2011:01;0,00;0,00;-0,19;0,23;0,03;-0,03;-0,04
2011:02;-0,04;0,19;-0,25;-0,28;-0,39;-0,10;0,00
2011:03;0,23;0,10;-0,20;0,26;0,39;0,01;0,14
2011:04;-0,18;0,06;-0,25;-0,12;-0,49;-0,16;0,03
2011:05;0,00;0,05;-0,26;-0,13;-0,34;-0,15;0,02
2011:06;0,02;0,04;-0,18;0,10;-0,01;-0,28;-0,16
2011:07;0,15;0,10;-0,20;0,10;0,15;-0,07;0,10
2011:08;0,12;-0,03;-0,23;0,12;-0,02;0,04;0,18
2011:09;-0,04;0,14;-0,16;-0,20;-0,25;-0,04;0,16
2011:10;0,11;0,03;-0,17;0,19;0,15;-0,04;0,17
2011:11;-0,13;0,04;-0,18;-0,07;-0,35;-0,15;0,02
2011:12;0,18;0,11;-0,17;0,15;0,26;0,02;0,21
2012:01;0,22;0,20;-0,14;0,06;0,35;0,09;0,26
2012:02;0,08;0,03;-0,12;0,01;0,00;0,20;0,48
2012:03;-0,28;0,13;-0,19;-0,07;-0,40;-0,02;0,23
2012:04;0,23;-0,02;-0,18;0,02;0,05;-0,11;0,07
2012:05;-0,06;0,03;-0,17;0,02;-0,18;-0,18;-0,07
2012:06;-0,03;0,01;-0,18;-0,12;-0,32;-0,15;-0,09
2012:07;-0,13;-0,01;-0,14;-0,01;-0,29;-0,27;-0,24
2012:08;-0,17;0,02;-0,14;-0,15;-0,44;-0,35;-0,35
2012:09;-0,12;0,09;-0,12;0,04;-0,10;-0,28;-0,31
2012:10;-0,05;0,01;-0,14;-0,09;-0,27;-0,27;-0,29
2012:11;0,14;0,00;-0,08;0,23;0,28;-0,03;-0,04
2012:12;0,14;0,09;-0,09;0,00;0,15;0,05;0,14
2013:01;-0,30;0,01;-0,08;0,02;-0,35;0,02;0,16
2013:02;0,11;0,15;-0,10;0,07;0,22;0,01;0,21
2013:03;0,02;0,03;-0,12;-0,20;-0,27;-0,13;-0,01
2013:04;-0,13;-0,03;-0,13;-0,02;-0,32;-0,12;-0,08
2013:05;0,01;0,06;-0,08;0,15;0,14;-0,15;-0,12
2013:06;0,02;0,02;-0,14;-0,05;-0,15;-0,11;-0,01
2013:07;-0,26;-0,04;-0,09;-0,13;-0,53;-0,18;-0,02
2013:08;0,21;0,11;-0,13;0,09;0,29;-0,13;0,00
2013:09;0,08;0,04;-0,11;0,07;0,09;-0,05;0,10
2013:10;-0,02;0,04;-0,08;0,05;-0,01;0,12;0,29
2013:11;0,00;0,13;-0,06;0,21;0,28;0,12;0,28
2013:12;0,03;0,03;-0,09;-0,13;-0,16;0,04;0,11
2014:01;-0,33;0,03;-0,20;-0,21;-0,71;-0,19;-0,07
2014:02;0,27;0,06;-0,03;0,14;0,44;-0,14;-0,08
2014:03;0,28;0,14;-0,03;0,08;0,47;0,07;0,21
2014:04;-0,05;0,15;-0,06;-0,02;0,03;0,31;0,33
2014:05;0,07;0,09;-0,09;0,04;0,10;0,20;0,31
2014:06;0,06;0,15;-0,08;0,00;0,12;0,08;0,19
2014:07;0,08;0,04;-0,07;0,23;0,29;0,17;0,28
2014:08;-0,14;0,13;-0,03;-0,17;-0,22;0,06;0,14
2014:09;0,05;0,09;-0,10;-0,02;0,02;0,03;0,08
2014:10;-0,03;0,11;-0,04;-0,02;0,02;-0,06;-0,02
2014:11;0,28;0,04;-0,05;-0,02;0,26;0,10;0,12
2014:12;-0,08;0,13;-0,06;0,07;0,06;0,11;0,11
2015:01;-0,21;0,05;-0,04;-0,06;-0,26;0,02;0,03
2015:02;-0,28;0,07;-0,14;-0,12;-0,47;-0,23;-0,14
2015:03;0,01;-0,06;-0,05;0,08;-0,03;-0,25;-0,19
2015:04;-0,16;0,10;-0,04;0,07;-0,02;-0,17;-0,07
2015:05;-0,10;0,05;-0,05;-0,24;-0,34;-0,13;-0,06
2015:06;-0,16;0,03;-0,05;0,04;-0,13;-0,16;-0,18
2015:07;0,19;0,16;-0,02;-0,03;0,30;-0,06;-0,10
2015:08;-0,11;-0,05;-0,05;-0,04;-0,25;-0,03;-0,17
2015:09;-0,18;-0,02;-0,04;0,11;-0,12;-0,03;-0,09
2015:10;-0,17;0,07;-0,09;-0,07;-0,26;-0,21;-0,30
2015:11;-0,25;0,03;-0,03;-0,10;-0,35;-0,25;-0,29
2015:12;-0,22;0,07;-0,02;-0,11;-0,29;-0,30;-0,34
2016:01;0,10;0,08;-0,08;-0,03;0,07;-0,19;-0,23
2016:02;-0,21;-0,06;0,04;0,02;-0,22;-0,15;-0,19
2016:03;-0,22;0,02;-0,13;-0,01;-0,34;-0,16;-0,23
2016:04;-0,02;-0,04;-0,05;-0,01;-0,12;-0,23;-0,30
2016:05;-0,12;-0,01;-0,05;-0,16;-0,34;-0,27;-0,42
2016:06;0,08;0,03;0,00;0,01;0,11;-0,11;-0,20
2016:07;-0,02;0,12;-0,04;-0,04;0,02;-0,07;-0,13
2016:08;-0,13;-0,08;-0,05;0,09;-0,18;-0,01;-0,10
2016:09;-0,04;0,03;-0,06;-0,02;-0,10;-0,08;-0,21
2016:10;-0,05;-0,01;-0,04;0,04;-0,05;-0,11;-0,29
2016:11;-0,14;0,06;-0,07;-0,06;-0,21;-0,12;-0,25
2016:12;0,12;0,05;0,03;0,17;0,38;0,04;-0,08
2017:01;-0,09;-0,01;-0,06;0,03;-0,13;0,01;-0,02
2017:02;-0,13;0,12;-0,05;-0,01;-0,08;0,06;0,07
2017:03;0,05;0,06;-0,05;-0,06;0,00;-0,07;-0,09
2017:04;0,34;0,11;-0,05;-0,08;0,31;0,08;0,04
2017:05;0,01;-0,01;-0,07;0,07;0,00;0,10;0,07
2017:06;-0,01;0,13;0,00;0,03;0,15;0,15;0,15
2017:07;-0,13;0,02;-0,04;-0,01;-0,17;-0,01;-0,05
2017:08;-0,13;0,06;-0,07;0,14;0,00;-0,01;-0,06
2017:09;0,00;0,08;0,02;0,07;0,17;0,00;-0,06
2017:10;0,39;0,04;-0,03;0,11;0,51;0,23;0,20
2017:11;0,05;0,05;0,01;0,12;0,23;0,30;0,32
2017:12;0,02;0,04;0,01;0,13;0,19;0,31;0,28
2018:01;-0,06;0,10;-0,10;-0,20;-0,26;0,05;0,05
2018:02;0,21;0,19;-0,03;0,11;0,47;0,13;0,12
2018:03;0,04;0,09;-0,02;0,00;0,11;0,10;0,10
2018:04;0,34;0,06;-0,04;-0,01;0,35;0,31;0,25
2018:05;-0,41;0,14;0,02;0,08;-0,17;0,10;0,11
2018:06;0,25;0,07;-0,06;-0,02;0,24;0,14;0,20
2018:07;-0,01;0,05;-0,01;-0,01;0,02;0,03;0,10
2018:08;0,18;0,04;-0,03;0,12;0,31;0,19;0,19
2018:09;-0,03;0,07;-0,07;0,03;0,00;0,11;0,06
2018:10;-0,12;0,03;-0,01;-0,11;-0,21;0,03;-0,05
2018:11;-0,07;0,05;0,00;-0,03;-0,05;-0,08;-0,25
2018:12;0,03;-0,01;-0,17;0,03;-0,13;-0,13;-0,23
2019:01;-0,30;0,08;-0,02;-0,03;-0,28;-0,15;-0,19
2019:02;-0,18;-0,10;-0,08;-0,01;-0,37;-0,26;-0,25
2019:03;-0,08;0,05;0,00;-0,08;-0,11;-0,25;-0,28
2019:04;-0,31;0,02;-0,06;-0,22;-0,57;-0,35;-0,36
2019:05;0,00;0,01;-0,02;0,02;0,01;-0,22;-0,23
2019:06;0,04;0,04;-0,02;0,05;0,10;-0,15;-0,13
2019:07;-0,25;-0,04;0,00;-0,08;-0,37;-0,08;-0,09
2019:08;0,16;0,02;0,00;-0,01;0,17;-0,03;-0,02
2019:09;-0,24;0,02;-0,05;-0,08;-0,36;-0,18;-0,18
2019:10;-0,39;-0,07;-0,03;-0,23;-0,72;-0,30;-0,31
2019:11;0,21;-0,01;0,01;-0,03;0,18;-0,30;-0,31
2019:12;-0,15;-0,09;0,03;-0,13;-0,34;-0,29;-0,37
2020:01;-0,16;0,06;-0,03;-0,06;-0,19;-0,11;-0,20
2020:02;0,05;0,00;0,02;0,08;0,14;-0,13;-0,19
2020:03;-1,70;-1,15;-0,67;-0,81;-4,33;-1,46;-0,30
2020:04;-5,61;-8,73;-1,35;-2,36;-18,05;-7,41;-0,55
2020:05;1,02;1,83;1,01;0,81;4,67;-5,91;-0,39
2020:06;2,39;1,91;0,50;1,42;6,22;-2,39;0,17
2020:07;1,25;0,57;0,15;0,55;2,51;4,47;0,77
2020:08;0,40;0,78;-0,01;0,08;1,25;3,33;0,76
2020:09;-0,05;0,35;0,13;0,05;0,48;1,41;0,63
2020:10;0,26;0,44;-0,01;0,14;0,84;0,85;0,57
2020:11;0,12;0,14;-0,06;0,01;0,22;0,51;0,43
2020:12;0,35;0,01;-0,03;0,13;0,46;0,51;0,39
2021:01;0,29;0,14;0,29;0,32;1,04;0,57;0,39
2021:02;-1,30;0,15;-0,17;-0,42;-1,74;-0,08;0,23
2021:03;1,04;0,34;0,62;0,24;2,25;0,52;0,39
2021:04;-0,01;0,08;-0,04;-0,06;-0,03;0,16;0,15
2021:05;0,33;0,18;-0,08;-0,15;0,28;0,83;0,37
2021:06;0,03;0,10;0,02;0,11;0,25;0,16;0,18
2021:07;0,28;0,38;-0,09;0,15;0,73;0,42;0,40
2021:08;-0,06;0,21;0,02;-0,04;0,12;0,37;0,29
2021:09;-0,33;0,24;0,04;0,05;0,00;0,28;0,24
2021:10;0,37;0,31;0,06;0,05;0,79;0,30;0,26
2021:11;0,32;0,29;-0,01;0,06;0,66;0,48;0,43
2021:12;-0,10;0,24;-0,10;0,05;0,09;0,51;0,45
2022:01;-0,09;0,07;0,13;0,19;0,30;0,35;0,28
2022:02;0,30;0,37;0,01;-0,16;0,52;0,31;0,24
2022:03;0,19;0,20;0,02;-0,14;0,26;0,36;0,34
2022:04;0,05;0,03;0,06;-0,09;0,04;0,28;0,27
2022:05;-0,15;0,05;-0,03;-0,10;-0,22;0,03;0,06
2022:06;-0,18;0,01;0,00;-0,06;-0,23;-0,14;-0,19
2022:07;0,07;0,15;-0,02;0,04;0,24;-0,07;-0,05
2022:08;-0,01;-0,05;0,05;0,21;0,20;0,07;0,15
2022:09;0,00;0,12;0,00;0,00;0,12;0,19;0,34
2022:10;-0,06;-0,01;0,02;-0,08;-0,12;0,07;0,22
2022:11;-0,24;-0,01;-0,10;-0,23;-0,57;-0,19;-0,04
2022:12;-0,71;0,06;-0,06;0,23;-0,48;-0,39;-0,16
2023:01;0,31;0,07;0,12;-0,12;0,39;-0,22;-0,06
2023:02;-0,05;-0,10;-0,06;-0,12;-0,33;-0,14;0,00
2023:03;-0,18;-0,02;-0,06;-0,14;-0,41;-0,12;-0,11
2023:04;0,18;0,07;-0,01;-0,10;0,14;-0,20;-0,14
2023:05;-0,09;-0,03;0,02;-0,05;-0,15;-0,14;-0,09

