"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Beverage and tobacco product  (NAICS = 312); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G312.A,CAP.G312.A,,,,,,,,,,,,,119.8808,119.5757,122.4004,123.6740,125.5559,127.5999,129.1390,130.9303,131.3288,130.4351,129.3434,129.2648,129.4203,128.8439,128.0256,128.2546,129.2101,130.1193,131.7032,133.1644,135.6317,138.8951,140.2501,142.3888,144.4823,147.9135,150.0915,150.9639,150.9385,149.1327,149.0507,148.9190,147.3398,147.4521,146.2352,142.1494,142.3036,142.0840,140.8957,141.6501,144.0622,146.3902,150.6124,149.6972,150.4081,147.2583,146.0203,147.4437,143.2159,139.1811,136.7956
"Textile mills  (NAICS = 313); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G313.A,CAP.G313.A,,,,,,,,,,,,,223.7742,228.8424,239.1906,244.1295,240.8960,240.5110,241.5614,242.1049,243.5089,248.1380,249.0002,245.5992,246.8580,248.1351,245.4721,244.9730,250.0279,256.2932,259.9665,261.9737,262.3315,263.6727,270.5169,281.4020,288.2725,295.5335,300.3395,297.7311,297.2403,293.6151,283.7877,271.6437,255.8133,241.3093,226.2519,210.4907,199.8538,194.0297,183.2079,168.4725,157.5185,151.4615,147.5525,144.7704,141.1379,136.1946,130.1737,127.0393,125.9815,124.3117,123.2109
"Textile product mills  (NAICS = 314); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G314.A,CAP.G314.A,,,,,,,,,,,,,148.3150,151.4620,153.9193,154.6141,155.3982,156.3969,158.2370,159.8668,160.6125,160.3265,164.0441,166.7893,166.7531,172.9745,180.6385,188.8836,192.4030,194.0352,197.7637,200.0272,202.4755,206.5292,212.4541,216.7031,220.5125,228.1174,236.4507,244.3511,250.4822,251.1019,249.5417,247.4386,245.5581,248.4322,232.8786,208.2819,187.3271,178.7820,177.5822,174.7458,170.9610,166.6671,163.0836,161.0333,155.1302,146.9478,141.0869,136.0184,132.7952,128.5519,125.1030
"Apparel  (NAICS = 315); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G315.A,CAP.G315.A,,,,,,,,,,,,,851.3346,860.6452,874.2569,883.2775,889.1480,901.5459,893.6136,889.6975,903.3056,915.0983,924.8224,921.6934,925.7219,929.6734,913.3461,902.1674,891.7982,876.2314,871.7336,858.0628,857.1188,862.9757,862.4018,861.2284,855.1124,855.7570,875.7747,843.5184,778.4280,714.0147,635.4207,566.0682,488.9945,443.8161,435.4588,338.7984,238.7479,213.9468,202.8671,188.6932,178.6123,177.1762,172.7690,162.0824,152.7672,143.4280,134.6073,129.1862,127.0892,124.1121,121.4224
"Leather and allied product  (NAICS = 316); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G316.A,CAP.G316.A,,,,,,,,659.1871,663.9300,664.0212,657.4169,650.4365,641.1485,640.7165,637.5412,612.3465,589.1655,577.7498,579.3204,570.3780,560.7006,573.5318,564.1733,537.9041,521.2152,501.4865,468.2807,442.7332,424.0093,408.5157,396.8388,380.0077,372.4168,375.3210,376.7957,368.1755,364.6276,365.6525,369.7741,371.5003,360.4993,331.7230,292.9612,265.3835,240.2176,225.8188,214.0671,215.9379,220.7423,224.3279,206.4785,196.3333,199.6334,194.2764,181.5839,177.2365,179.2227,167.3496,155.0721,140.7279,129.7194,122.7157,130.3948
"Plastics material and resin  (NAICS = 325211); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.N325211.A,CAP.N325211.A,,,,,,,,,,,,,41.2486,44.5562,47.5322,48.1375,50.0908,55.1978,57.3853,56.2680,58.1927,61.3824,63.5669,65.0043,65.6109,64.8191,65.8224,70.0263,75.8279,82.5062,81.9329,80.6163,85.3360,83.6489,89.3562,93.9817,91.0705,100.0138,110.4623,113.5397,115.8600,113.0215,111.1450,106.6241,107.6102,120.8078,119.0411,123.5685,118.8848,104.2301,108.0678,110.7797,112.6164,113.7052,111.6499,105.9821,104.7143,114.3595,114.2727,103.2311,100.9238,104.9977,108.4849
"Synthetic rubber  (NAICS = 325212); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G325212.A,CAP.G325212.A,,,,,,,,,,,,,104.5807,107.1836,109.1961,113.7575,118.2425,120.6614,122.1430,119.4600,118.6584,122.6173,127.4344,119.9254,110.9403,111.7266,114.4772,116.4745,118.8410,124.6539,131.6339,136.0553,139.0287,140.4895,144.4881,148.9576,151.8140,161.0924,165.2642,169.3276,172.3014,175.8564,176.3923,185.1218,176.1472,165.9987,147.7927,143.1036,144.4605,143.4084,144.7008,146.3138,145.0766,143.1390,140.9833,139.4793,139.7515,138.5639,143.2366,145.8361,140.9602,139.5795,139.1610
"Artificial and synthetic fibers and filaments  (NAICS = 32522); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G32522.A,CAP.G32522.A,,,,,,,,,,,,,150.6518,176.5818,220.0301,248.4097,259.5790,271.9018,277.3137,285.3614,277.0506,266.6886,268.4011,272.6846,269.5709,258.3396,259.0066,255.2872,261.3481,272.6083,272.9761,267.8422,273.0463,280.4068,270.3714,279.7562,280.9289,265.6793,283.6857,259.7109,234.2525,232.1324,196.1537,187.4373,179.1840,167.1847,172.8861,164.9730,152.4820,132.8069,143.9321,161.4699,148.7835,138.5735,132.9061,127.0166,123.9611,107.0250,102.7299,101.0717,100.5102,96.2593,90.2564
"Oil and gas extraction  (NAICS = 211); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G211.A,CAP.G211.A,,,,,,,,,,,,,84.4488,82.5534,80.3551,77.8316,76.1919,77.3072,78.5535,77.7970,76.8165,76.3507,76.5853,76.7696,77.3466,77.8464,79.4114,77.1846,75.1590,72.5145,70.8689,70.1529,69.0964,67.8851,67.5825,67.1314,66.6494,66.5992,66.3211,65.2702,64.3562,65.0031,64.6299,64.5874,63.9018,62.3180,61.5760,61.6360,62.5651,64.3053,66.4539,69.7725,75.7840,84.0846,93.9887,101.5933,102.4851,105.4324,117.4659,131.2393,133.9342,130.6459,133.6769
"Mining (except oil and gas)  (NAICS = 212); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G212.A,CAP.G212.A,,,,,,,,,,,,,89.8021,90.7561,91.9434,93.7905,96.0568,97.3204,100.2687,104.0026,106.5219,107.9735,110.0678,109.0443,106.9639,107.0859,110.5198,114.6295,116.2571,120.8060,126.3479,128.8185,130.2617,131.4020,134.4237,134.6430,136.2473,139.7076,142.6119,145.0816,145.5896,144.0214,144.5296,144.3716,145.1737,148.5628,152.6336,150.3142,147.7761,146.3539,141.6825,139.7522,138.4907,135.8032,134.4077,131.3723,127.9358,127.7289,127.7168,127.7115,127.6891,126.7787,123.3892
"Coal mining  (NAICS = 2121); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.N2121.A,CAP.N2121.A,,,,,,,,93.4921,95.3689,96.8215,98.3389,101.0992,104.3619,105.8616,108.0052,111.9718,114.9041,117.5135,121.5256,128.1803,133.6211,137.6906,140.9577,142.2994,142.9201,144.5489,147.1968,149.3410,150.7398,154.3725,159.9157,165.3887,165.0180,164.0793,170.3734,171.2394,171.2916,172.7254,173.3198,176.0865,173.0831,171.9592,177.2631,174.3580,169.8165,174.6426,179.9708,175.7345,174.5067,179.0497,173.9307,170.0678,166.8534,160.8062,158.6307,152.5755,139.7053,133.9134,130.2444,127.3500,121.0369,111.8660,104.1621
"Metal ore mining  (NAICS = 2122); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G2122.A,CAP.G2122.A,,,,,,,,90.2820,89.0906,87.5724,86.2385,83.9015,83.0698,85.8297,86.1730,87.0575,90.2989,91.1304,93.4324,96.3364,99.4378,100.3636,107.7923,101.9612,92.7807,87.9611,92.3340,101.5302,103.2477,115.5888,128.6936,132.8667,140.1697,141.6220,142.6461,140.1681,140.9753,145.3904,148.1406,148.0390,150.4171,142.6101,136.7880,135.9817,135.7354,134.6945,137.0156,135.0719,135.8037,136.9414,136.1165,139.1893,142.6523,142.6993,139.2837,136.2857,137.7762,139.3889,139.7758,140.6914,144.2238,146.7468,145.2739
"Nonmetallic mineral mining and quarrying  (NAICS = 2123); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G2123.A,CAP.G2123.A,,,,,,,,83.5803,86.2164,89.1524,91.7227,93.7307,94.8385,93.9232,93.9979,94.4747,94.7588,94.8960,97.5615,97.6040,95.4070,94.7839,95.2319,91.5556,90.0269,91.0412,95.5468,98.5713,100.0305,101.3806,103.1157,101.5357,101.8719,104.9485,106.2693,107.7930,111.1322,115.7099,120.3053,123.5481,125.7898,126.4125,125.5360,126.8066,129.5709,132.7504,135.8588,134.3506,130.0766,123.7710,116.3955,111.8373,108.7525,107.6811,108.7742,109.5296,111.2950,113.4835,115.9912,117.4479,118.6875,118.6521,117.3218
"Support activities for mining  (NAICS = 213); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G213.A,CAP.G213.A,,,,,,,,,,,,,172.4861,181.5908,188.3479,200.1786,223.0269,252.6306,285.2114,318.4038,379.5199,482.4506,560.8870,554.2022,509.3133,482.1584,445.7642,385.9767,335.2131,311.1861,296.1507,277.3734,253.2540,245.4176,242.3354,227.3722,214.5587,211.1114,208.8735,201.6275,196.6968,195.3329,187.3560,183.3032,186.8886,186.1371,196.7505,218.1463,225.8571,233.9123,244.3242,253.5473,253.6351,258.3983,252.1840,214.0978,197.8708,193.6521,173.4881,163.7430,156.7219,143.3884,132.0813
"Electric power generation, transmission, and distribution  (NAICS = 2211); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G2211.A,CAP.G2211.A,,,,,,,,25.4419,27.6238,29.8639,32.4034,35.2426,38.1380,42.6808,46.6839,49.2982,52.2020,54.5157,56.4816,58.2969,60.3700,62.6055,64.4730,66.0318,68.1758,70.3836,72.0846,73.4061,75.1030,77.3147,79.1319,80.5036,81.6156,83.0002,84.8768,86.7043,88.1079,88.2927,88.3105,89.6022,92.5737,97.4202,103.6874,108.8051,112.0571,114.2948,115.6465,116.9363,118.9766,120.8371,122.4250,124.0838,125.4052,125.8950,126.1881,126.5884,127.8312,129.2025,130.2156,131.3896,133.8713,137.6529,142.3142
"Natural gas distribution  (NAICS = 2212); n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.G2212.A,CAP.G2212.A,,,,,,,,95.0622,100.4810,106.5019,111.9403,115.7755,116.8066,116.1276,115.2802,113.6506,111.8254,110.0768,108.6947,107.7739,107.2780,106.9675,106.2586,105.5133,105.6347,106.2814,107.1711,108.5857,110.8949,113.3136,114.1020,114.2743,114.8139,115.3060,116.2150,117.7157,119.0767,119.9755,120.3086,120.4491,120.5101,120.6332,121.1729,121.7712,122.2305,122.2382,121.8778,121.5258,121.4759,122.0215,122.5816,123.1163,124.0558,125.1591,126.5657,128.0229,128.9895,129.8652,130.9901,132.5415,134.6052,136.6229,138.6091
"Manufacturing ex. hi-tech and motor vehicles & pts.; n.s.a. CAP","Index:_2017_100","1","NA",G17/CAP/CAP.X4HTMV.A,CAP.X4HTMV.A,,,,,,,,66.1323,69.6319,72.8965,75.7582,78.1401,80.4136,82.7935,85.4834,87.1909,88.7389,90.9448,93.4300,96.0264,98.4002,100.4383,101.8758,102.1092,102.8685,105.1411,106.2022,107.4529,108.1814,109.5031,111.6479,112.5301,114.0702,115.7240,117.1353,119.4450,122.4608,126.7767,132.4041,136.9294,139.8739,141.5667,141.6791,140.1225,138.6920,139.5803,141.6939,143.6896,144.1364,142.2463,138.8436,136.2030,136.4265,136.1427,134.7045,132.9344,132.5456,131.1573,128.8907,127.5615,125.8889,124.1076,124.0675
"Total index; n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.B50001.A,CAPUTL.B50001.A,,,,,,,,86.9970,87.3437,87.4225,81.2601,79.6314,84.6820,88.3100,85.0309,75.7353,79.8142,83.4158,85.1236,84.9553,80.7089,79.5756,73.6244,74.9605,80.5054,79.2764,78.5544,81.1641,84.2519,83.7216,82.4059,79.9655,80.6864,81.5799,83.5479,83.9256,83.3043,84.0809,82.8676,81.9188,81.6125,76.2275,75.0251,76.0880,78.2336,80.2289,80.5693,80.7835,77.7930,68.3619,73.2960,75.9568,76.8052,77.1055,78.6668,77.0906,75.3741,76.6193,79.6738,78.5887,72.8047,77.5566,80.3156
"Manufacturing (SIC); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.B00004.A,CAPUTL.B00004.A,80.1352,77.3095,81.4291,83.4647,85.6473,89.5376,91.1302,87.1552,87.0937,86.6527,79.4556,77.9512,83.4278,87.6918,84.3411,73.6323,78.3594,82.4502,84.4351,83.9793,78.6679,77.0308,70.9338,73.5361,79.4040,78.1412,78.4473,80.9631,83.9597,83.2273,81.5102,78.5990,79.7056,80.5388,82.8091,83.1201,82.0615,83.0198,81.6726,80.6484,79.9009,73.9008,73.1157,74.1171,76.5750,78.6355,78.8791,78.9766,74.6545,65.2014,70.2290,73.0969,74.3013,74.4372,75.6906,76.1285,75.4208,76.3379,78.2592,77.1147,72.5827,77.1165,79.1614
"Manufacturing (NAICS); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.GMF.A,CAPUTL.GMF.A,,,,,,,,,,,,,83.3514,87.7948,84.3975,73.5055,78.3878,82.4247,84.4105,83.9213,78.3894,76.6827,70.3796,73.0075,79.0122,77.6432,78.0014,80.5238,83.7452,83.1189,81.3979,78.4861,79.6820,80.4952,82.8810,83.1621,82.1374,82.8935,81.4056,80.3047,79.5013,73.4236,72.6751,73.7279,76.2715,78.4578,78.8468,79.0813,74.4836,65.1416,70.5965,73.5292,74.8103,74.9194,76.0980,76.4868,75.6731,76.5388,78.4753,77.2628,72.6463,77.1479,79.2074
"Durable manufacturing (NAICS); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.GMFD.A,CAPUTL.GMFD.A,,,,,,,,87.5014,87.3464,87.1249,77.7395,75.4737,82.0400,88.6016,84.5639,71.6920,76.4491,81.1022,83.8303,83.9377,77.4902,75.2571,66.5457,68.8755,77.0211,75.7752,75.4249,77.5952,81.9498,81.7263,79.2493,75.5171,77.3052,78.7596,81.6053,82.1306,81.4285,82.2834,80.8624,80.5079,79.9788,71.7532,70.2441,71.3081,74.1704,76.6258,77.7370,78.4799,74.5647,61.2668,68.5783,72.5529,75.2362,75.2552,77.0672,76.6025,74.9392,76.0699,78.6456,76.6589,69.5656,74.1393,76.8184
"Wood product  (NAICS = 321); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G321.A,CAPUTL.G321.A,,,,,,,,,,,,,92.1594,87.8537,77.8479,69.9878,79.4754,86.0115,84.8294,79.8304,72.3789,70.6503,63.8169,75.1908,81.1403,79.6745,83.6914,85.6873,84.2348,82.1230,80.2343,76.0577,78.7507,78.8269,82.8160,80.8602,81.2011,80.9266,80.9710,81.3682,78.1482,72.2966,75.0033,76.0833,79.1084,80.6549,78.2159,73.1561,63.6269,50.9872,56.5157,60.7766,67.1270,71.4090,70.9625,72.8718,75.4833,76.9081,78.7637,76.3506,78.5685,83.3887,84.2615
"Nonmetallic mineral product  (NAICS = 327); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G327.A,CAPUTL.G327.A,77.0084,73.9725,76.3236,78.5820,80.2731,81.8981,80.0657,75.7303,78.3306,79.4067,73.4019,74.8455,78.8899,83.7946,81.3563,72.5704,77.3981,82.4988,86.4112,84.4670,75.0803,72.3367,64.7670,70.2466,75.4724,75.6974,78.1066,80.5808,81.5297,80.6506,79.1722,73.1007,76.7773,78.5539,81.2171,81.2395,84.4621,83.2297,83.3823,81.0778,78.4963,73.7636,73.2835,73.4012,73.7970,74.4371,72.7293,67.9353,58.6121,45.0631,48.6435,51.2849,53.6980,58.4122,63.0532,66.5188,67.8424,67.7590,69.9060,72.5007,71.2268,74.7771,82.1051
"Primary metal  (NAICS = 331); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G331.A,CAPUTL.G331.A,,,,,,,,84.9572,84.8273,88.3378,79.4164,73.0075,82.8952,94.6566,96.4898,75.2309,78.6039,79.2687,84.2181,86.0565,76.6069,78.4819,56.9024,60.4967,69.7101,67.0945,69.5175,78.2338,89.2106,86.5495,84.6590,79.5543,81.7640,85.9419,91.5452,90.1149,89.2422,89.7717,87.4769,86.4380,83.0670,73.6745,76.9845,75.9990,83.6735,81.4425,80.5518,80.9542,77.8758,54.9763,69.2160,75.4153,74.6738,75.9892,74.5750,68.7590,66.5608,66.1159,71.1365,70.8841,62.2983,71.7855,71.9373
"Fabricated metal product  (NAICS = 332); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G332.A,CAPUTL.G332.A,77.9229,73.3178,77.5267,77.5303,79.9081,84.8332,87.0619,86.3720,87.2538,86.1167,78.4130,78.3727,85.0302,90.8760,86.1144,72.1924,75.8339,79.7681,80.5379,81.7664,75.4065,73.2424,65.1593,66.9977,73.8837,74.3535,73.8992,75.4066,79.8605,79.2503,77.0546,73.2250,75.1599,75.9741,80.2339,82.1504,81.7364,81.0394,79.8330,78.3511,79.8938,74.0149,73.1880,74.5844,76.7890,80.7273,85.8005,88.5188,83.8187,66.0509,73.0703,79.0800,79.6682,80.3572,82.2666,80.4477,78.0731,78.8963,82.0389,80.1435,72.8012,75.7428,78.7138
"Machinery  (NAICS = 333); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G333.A,CAPUTL.G333.A,,,,,,,,90.3823,85.0462,86.6587,79.6754,73.7532,83.1881,92.4472,91.9347,77.6796,79.8282,85.3873,88.6156,90.1954,83.5498,80.5286,66.5359,60.4677,70.8573,70.5070,69.9662,71.7897,80.1071,83.7907,81.3577,76.2590,75.0754,78.5988,83.3472,85.5442,84.7010,85.1122,82.1485,76.5152,77.8279,68.3015,66.9378,68.5340,72.4293,76.3242,79.4649,81.9182,79.2338,62.0153,69.3401,76.7365,82.2978,78.3375,79.2010,73.6585,70.3910,75.4558,80.7230,80.2318,72.9786,79.7277,84.5977
"Computer and electronic product  (NAICS = 334); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G334.A,CAPUTL.G334.A,,,,,,,,,,,,,80.7978,85.1994,83.1254,68.6870,72.1450,77.8457,80.5209,83.6459,86.7618,84.5135,81.0520,81.9819,87.6853,80.4674,77.6144,80.0541,81.4816,78.9889,78.7944,78.4119,79.0200,78.4569,80.3761,83.2664,81.3561,81.8025,77.8798,81.5620,84.2598,69.8172,60.6025,64.2813,71.1324,73.1036,77.3561,76.4238,77.6785,71.1562,76.8449,76.8153,75.6886,72.5389,72.1571,71.2964,69.5226,73.1654,75.5211,74.3656,71.5318,72.8099,71.1892
"Electrical equipment, appliance, and component  (NAICS = 335); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G335.A,CAPUTL.G335.A,,,,,,,,,,,,,89.8434,97.6853,91.5618,70.6621,78.5645,85.3002,87.6603,88.8112,81.8359,79.0152,69.8151,72.9780,82.4971,79.1849,80.2620,82.3923,87.2065,86.0688,83.7766,78.9928,82.1473,86.4061,91.5185,91.1098,89.7966,88.4394,86.1441,83.7530,86.5070,77.3486,73.5615,74.5190,77.2933,81.1041,83.1526,87.9319,85.4377,68.6072,73.6121,78.6382,79.8979,79.6075,81.4041,79.5360,78.6885,79.5770,79.7733,78.2124,76.2990,79.2194,79.2145
"Motor vehicles and parts  (NAICS = 3361-3); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G3361T3.A,CAPUTL.G3361T3.A,78.9258,67.4693,80.3344,86.4771,85.5107,102.4008,93.8031,78.8655,90.1419,86.8363,66.4809,79.3361,84.4069,91.7735,76.6744,66.0732,81.8073,89.8870,90.7109,80.8402,59.7216,57.3090,50.7781,67.3394,81.7849,83.4793,79.2635,77.8712,82.4887,80.8695,72.0355,64.3288,72.5356,78.5961,85.9434,83.3479,80.5082,81.8668,79.2086,83.3015,81.5761,72.7386,78.6788,78.5361,77.1857,77.3807,72.1026,71.4063,57.5987,44.0719,59.7836,65.2240,71.5174,73.2069,78.2717,81.6553,81.1163,77.9551,78.3051,75.2443,62.6425,67.2617,72.2689
"Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G3364T9.A,CAPUTL.G3364T9.A,66.9021,68.3517,77.1766,83.0196,81.6425,83.7657,91.8214,94.1458,90.2001,86.3689,75.3922,67.0515,65.6344,73.6738,73.1287,70.1119,66.3025,66.1027,72.6532,80.1313,82.5655,76.6774,69.8268,66.4161,69.7948,72.4262,73.9417,75.3758,79.6824,85.3667,84.5304,85.5564,81.5025,75.8503,68.7444,65.3884,67.5945,74.0384,83.0499,77.9561,67.4689,71.1797,67.0172,63.6965,62.5989,69.0374,72.3129,83.8766,83.3386,73.4615,73.0776,71.2581,77.3508,78.1253,82.8128,83.9411,78.2910,81.7844,80.7850,72.9436,59.1934,63.3859,67.4168
"Furniture and related product  (NAICS = 337); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G337.A,CAPUTL.G337.A,,,,,,,,91.9100,91.3080,92.4458,83.6236,84.3279,93.6216,94.6712,83.4992,69.6636,76.3509,84.6475,86.1001,80.9791,74.9963,71.7719,66.3441,72.1659,79.0083,77.2084,78.9472,82.7393,80.4361,78.9945,76.1169,70.6203,76.5565,79.1188,80.5838,79.9811,78.7917,83.3924,83.0478,80.6941,77.5626,70.9178,72.7341,71.7040,77.1420,80.5099,79.3396,75.6957,70.0921,54.6179,57.9997,64.5733,70.2670,73.1310,76.8475,82.4932,82.7098,83.2935,88.4529,84.4165,78.2987,78.4253,78.4057
"Miscellaneous  (NAICS = 339); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G339.A,CAPUTL.G339.A,,,,,,,,,,,,,80.2936,79.5517,74.6083,67.6390,72.3680,77.5951,78.7542,78.4313,73.3594,75.7420,73.6825,70.7883,75.8783,73.9683,73.9311,77.1274,81.6863,79.7556,79.5668,78.2356,77.1254,77.4132,77.1439,79.5570,80.9819,79.1833,79.5188,77.0850,76.7214,73.2884,74.0998,74.8944,75.5768,78.4921,77.7994,73.8328,74.1793,69.8911,75.5840,77.1308,75.6020,77.3758,75.7892,78.3341,79.8251,76.3740,81.7451,81.3600,77.1354,85.4584,85.8596
"Nondurable manufacturing (NAICS); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.GMFN.A,CAPUTL.GMFN.A,,,,,,,,86.3066,86.4765,86.1260,82.1493,81.7770,85.3080,86.6253,84.1621,76.0876,81.2132,84.3913,85.2951,83.8985,79.7322,78.8502,76.3792,79.4054,82.0766,80.4642,81.8177,84.7760,86.2116,84.9849,84.1955,82.3266,82.7315,82.7331,84.5681,84.5102,83.1060,83.7398,82.1706,80.0187,78.8590,75.6425,75.9512,76.8849,78.9348,80.6070,80.1605,79.8011,74.3870,69.6695,72.9452,74.6034,74.3449,74.5491,74.9882,76.3577,76.4934,77.0715,78.2871,77.9253,76.2137,80.4813,81.7259
"Food, beverage, and tobacco  (NAICS = 311,2); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G311A2.A,CAPUTL.G311A2.A,,,,,,,,84.9725,84.8359,85.0923,84.1041,84.0928,85.2144,84.7311,83.9323,80.1054,83.2861,82.8619,83.6059,81.1764,80.8838,80.3273,81.3273,80.7707,81.3262,82.5921,82.7842,83.7736,85.2982,83.7322,83.9565,83.0358,82.5770,81.0929,83.2660,84.3362,82.4012,82.4170,82.7788,78.3971,77.3710,76.2593,75.4150,77.0644,77.2458,79.2965,78.9173,78.5094,76.2088,75.9321,76.6135,77.9587,77.8717,78.1825,76.5949,77.3286,76.6471,77.4318,78.0652,77.0584,78.8154,80.8686,81.0833
"Textiles and products  (NAICS = 313,4); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G313A4.A,CAPUTL.G313A4.A,,,,,,,,,,,,,88.8320,86.2372,76.3861,72.6849,81.7037,89.1924,88.3713,87.7756,83.7390,80.8183,74.4370,84.0423,85.7199,81.4781,84.0875,91.1439,88.5724,88.1710,83.2957,81.4491,85.4519,87.8586,90.1058,86.2257,82.3427,84.5051,81.9288,81.6759,79.4045,71.5283,73.6688,72.8324,74.8029,78.0025,75.4148,73.1406,69.3825,56.8746,62.9472,65.0246,65.9876,70.7120,73.7873,71.4650,72.3078,70.7102,72.8532,72.7512,67.9694,72.9163,71.8472
"Apparel and leather goods  (NAICS = 315,6); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G315A6.A,CAPUTL.G315A6.A,,,,,,,,,,,,,81.6185,82.2308,76.2544,74.6312,78.2504,81.5919,84.1576,79.1627,80.0211,78.7591,77.8445,81.0670,81.2233,77.8559,79.7361,81.9829,82.0383,80.2169,79.0096,80.2619,82.7412,83.7855,84.9123,84.5410,83.2164,83.0443,77.3374,76.0339,78.9326,75.1632,66.8908,69.6426,70.2234,75.3222,75.3866,75.3959,78.1233,61.9432,66.8263,70.2328,68.5520,64.5376,64.2906,64.6143,64.2340,66.6463,68.8082,73.0497,64.3317,74.5442,74.9102
"Paper  (NAICS = 322); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G322.A,CAPUTL.G322.A,88.3987,88.5638,90.2490,91.7872,92.9786,94.2558,95.1216,89.6734,89.3290,91.0393,86.1772,86.8747,91.3981,94.8519,95.0480,80.6898,87.7358,90.2037,92.2228,90.8134,88.2083,86.7717,83.8131,88.7583,91.0393,87.7094,90.0756,90.1746,91.2815,90.3609,89.2538,87.6350,88.4597,89.0107,90.7306,89.4944,85.4174,87.3995,87.2603,86.5848,84.4092,80.0863,82.0670,81.8719,83.3230,83.7982,83.6111,83.7226,81.9669,76.9414,81.3775,81.1650,83.1810,83.1912,83.8153,85.2629,86.2436,86.2340,86.5130,87.0358,85.1262,88.0944,87.5560
"Printing and related support activities  (NAICS = 323); n.s.a. CAPUTL","Percentage","1","NA",G17/CAPUTL/CAPUTL.G323.A,CAPUTL.G323.A,,,,,,,,,,,,,92.2969,93.9732,88.0374,79.5750,82.2541,86.0511,87.4033,86.0323,83.7367,81.2058,82.3834,84.3623,87.0504,84.7909,85.4766,89.1021,90.2564,88.9249,88.8678,84.1522,86.3500,84.8566,84.0856,83.3127,83.0579,81.4227,79.8014,77.7382,77.0420,74.8408,74.8708,75.4635,77.5301,77.5412,77.4955,76.9844,69.5705,60.0305,62.9233,63.6444,64.3852,67.3735,69.0253,71.0254,74.6517,76.0595,75.5188,72.5965,70.9125,76.6594,82.7854
